value;film_id;film_title
Dance rhythms and catchy tunes;465978;Cats
Horror;46087;Child's Play
Horror, the undead and monster classics;46087;Child's Play
Intense violence and sexual transgression;46087;Child's Play
Thrillers and murder mysteries;46087;Child's Play
Terrifying, haunted, and supernatural horror;46087;Child's Play
Gory, gruesome, and slasher horror;46087;Child's Play
Creepy, chilling, and terrifying horror;46087;Child's Play
Gothic and eerie haunting horror;46087;Child's Play
Twisted dark psychological thriller;46087;Child's Play
Horror;47345;The Craft
Fantasy;47345;The Craft
Drama;47345;The Craft
Underdogs and coming of age;47345;The Craft
Horror, the undead and monster classics;47345;The Craft
Terrifying, haunted, and supernatural horror;47345;The Craft
Twisted dark psychological thriller;47345;The Craft
Creepy, chilling, and terrifying horror;47345;The Craft
Gothic and eerie haunting horror;47345;The Craft
Comedy;51387;Evil Dead II
Fantasy;51387;Evil Dead II
Horror;51387;Evil Dead II
Horror, the undead and monster classics;51387;Evil Dead II
Crude humor and satire;51387;Evil Dead II
Survival horror and zombie carnage;51387;Evil Dead II
Spooky, scary comedy;51387;Evil Dead II
Gory, gruesome, and slasher horror;51387;Evil Dead II
Creepy, chilling, and terrifying horror;51387;Evil Dead II
Terrifying, haunted, and supernatural horror;51387;Evil Dead II
Animation;431888;The Mitchells vs. the Machines
Science Fiction;431888;The Mitchells vs. the Machines
Comedy;431888;The Mitchells vs. the Machines
Adventure;431888;The Mitchells vs. the Machines
Crude humor and satire;431888;The Mitchells vs. the Machines
Kids' animated fun and adventure;431888;The Mitchells vs. the Machines
Adorable animals and heartwarming families;431888;The Mitchells vs. the Machines
Quirky and endearing relationships;431888;The Mitchells vs. the Machines
Heartfelt and sentimental family stories;431888;The Mitchells vs. the Machines
Emotional and heartfelt family dramas;431888;The Mitchells vs. the Machines
Thriller;51157;Point Break
Action;51157;Point Break
Crime;51157;Point Break
High speed and special ops;51157;Point Break
Epic heroes;51157;Point Break
Heists and thrilling action;51157;Point Break
Adrenaline-fueled action and fast cars;51157;Point Break
Explosive and action-packed heroes vs. villains;51157;Point Break
Violent action, guns, and crime;51157;Point Break
Superheroes in action-packed battles with villains;51157;Point Break
Action;49632;Flash Gordon
Adventure;49632;Flash Gordon
Science Fiction;49632;Flash Gordon
Monsters, aliens, sci-fi and the apocalypse;49632;Flash Gordon
Epic heroes;49632;Flash Gordon
Superheroes in action-packed battles with villains;49632;Flash Gordon
Action-packed space and alien sagas;49632;Flash Gordon
Fantasy adventure, heroism, and swordplay;49632;Flash Gordon
Imaginative space odysseys and alien encounters;49632;Flash Gordon
Epic adventure and breathtaking battles;49632;Flash Gordon
Science Fiction;41672;Killer Klowns from Outer Space
Comedy;41672;Killer Klowns from Outer Space
Horror;41672;Killer Klowns from Outer Space
Crude humor and satire;41672;Killer Klowns from Outer Space
Horror, the undead and monster classics;41672;Killer Klowns from Outer Space
Monsters, aliens, sci-fi and the apocalypse;41672;Killer Klowns from Outer Space
Sci-fi horror, creatures, and aliens;41672;Killer Klowns from Outer Space
Spooky, scary comedy;41672;Killer Klowns from Outer Space
Kids' animated fun and adventure;41672;Killer Klowns from Outer Space
Gags, jokes, and slapstick humor;41672;Killer Klowns from Outer Space
Survival horror and zombie carnage;41672;Killer Klowns from Outer Space
Adventure;44960;The 36th Chamber of Shaolin
Action;44960;The 36th Chamber of Shaolin
Epic heroes;44960;The 36th Chamber of Shaolin
Intense combat and martial arts;44960;The 36th Chamber of Shaolin
Thriller;45270;The Warriors
Action;45270;The Warriors
Epic heroes;45270;The Warriors
Violent action, guns, and crime;45270;The Warriors
Gritty crime and ruthless gangsters;45270;The Warriors
Intense combat and martial arts;45270;The Warriors
Superheroes in action-packed battles with villains;45270;The Warriors
Fantasy adventure, heroism, and swordplay;45270;The Warriors
Comedy;598882;The Banshees of Inisherin
Drama;598882;The Banshees of Inisherin
Moving relationship stories;598882;The Banshees of Inisherin
Humanity and the world around us;598882;The Banshees of Inisherin
Intense violence and sexual transgression;598882;The Banshees of Inisherin
Powerful stories of heartbreak and suffering;598882;The Banshees of Inisherin
Surreal and thought-provoking visions of life and death;598882;The Banshees of Inisherin
Captivating relationships and charming romance;598882;The Banshees of Inisherin
Passion and romance;598882;The Banshees of Inisherin
Heartfelt and sentimental family stories;598882;The Banshees of Inisherin
Thriller;45104;Masters of the Universe
Adventure;45104;Masters of the Universe
Action;45104;Masters of the Universe
Science Fiction;45104;Masters of the Universe
Fantasy;45104;Masters of the Universe
Epic heroes;45104;Masters of the Universe
Monsters, aliens, sci-fi and the apocalypse;45104;Masters of the Universe
Fantasy adventure, heroism, and swordplay;45104;Masters of the Universe
Superheroes in action-packed battles with villains;45104;Masters of the Universe
Action-packed space and alien sagas;45104;Masters of the Universe
Historical battles and epic heroism;45104;Masters of the Universe
Epic adventure and breathtaking battles;45104;Masters of the Universe
Horror;44952;Invasion of the Body Snatchers
Science Fiction;44952;Invasion of the Body Snatchers
Horror, the undead and monster classics;44952;Invasion of the Body Snatchers
Monsters, aliens, sci-fi and the apocalypse;44952;Invasion of the Body Snatchers
Intense violence and sexual transgression;44952;Invasion of the Body Snatchers
Terrifying, haunted, and supernatural horror;44952;Invasion of the Body Snatchers
Sci-fi horror, creatures, and aliens;44952;Invasion of the Body Snatchers
Gothic and eerie haunting horror;44952;Invasion of the Body Snatchers
Thought-provoking sci-fi action and future technology;44952;Invasion of the Body Snatchers
Gory, gruesome, and slasher horror;44952;Invasion of the Body Snatchers
Science Fiction;45260;Rollerball
Action;45260;Rollerball
Monsters, aliens, sci-fi and the apocalypse;45260;Rollerball
Thought-provoking sci-fi action and future technology;45260;Rollerball
Underdog fighting and boxing stories;45260;Rollerball
Inspiring sports underdog stories;45260;Rollerball
Action;31606;Bloodmoon
Comedy;51386;Army of Darkness
Fantasy;51386;Army of Darkness
Horror;51386;Army of Darkness
Crude humor and satire;51386;Army of Darkness
Epic heroes;51386;Army of Darkness
Horror, the undead and monster classics;51386;Army of Darkness
Fantasy adventure, heroism, and swordplay;51386;Army of Darkness
Action comedy and silly heroics;51386;Army of Darkness
Gags, jokes, and slapstick humor;51386;Army of Darkness
Spooky, scary comedy;51386;Army of Darkness
Superheroes in action-packed battles with villains;51386;Army of Darkness
Drama;51483;Requiem for a Dream
Crime;51483;Requiem for a Dream
Humanity and the world around us;51483;Requiem for a Dream
Intense violence and sexual transgression;51483;Requiem for a Dream
Moving relationship stories;51483;Requiem for a Dream
Powerful stories of heartbreak and suffering;51483;Requiem for a Dream
Challenging or sexual themes & twists;51483;Requiem for a Dream
Heartfelt and sentimental family stories;51483;Requiem for a Dream
Heartbreaking and moving family drama;51483;Requiem for a Dream
Violent crime and drugs;51483;Requiem for a Dream
Science Fiction;276291;The Meg
Horror;276291;The Meg
Action;276291;The Meg
Epic heroes;276291;The Meg
Sci-fi horror, creatures, and aliens;276291;The Meg
Sci-fi monster and dinosaur adventures;276291;The Meg
Explosive and action-packed heroes vs. villains;276291;The Meg
Superheroes in action-packed battles with villains;276291;The Meg
Action comedy and silly heroics;276291;The Meg
Western;51771;High Noon
Drama;51771;High Noon
Westerns;51771;High Noon
Wild west outlaws and gunfights;51771;High Noon
Western frontier dramas with a touch of humor;51771;High Noon
Violent action, guns, and crime;51771;High Noon
Intense political and terrorist thrillers;51771;High Noon
Gritty crime and ruthless gangsters;51771;High Noon
Comedy;46897;Bubba Ho-tep
Horror;46897;Bubba Ho-tep
Fantasy;46897;Bubba Ho-tep
Thriller;46897;Bubba Ho-tep
Mystery;46897;Bubba Ho-tep
Crude humor and satire;46897;Bubba Ho-tep
Gags, jokes, and slapstick humor;46897;Bubba Ho-tep
Funny jokes and crude humor;46897;Bubba Ho-tep
Action comedy and silly heroics;46897;Bubba Ho-tep
Spooky, scary comedy;46897;Bubba Ho-tep
Amusing jokes and witty satire;46897;Bubba Ho-tep
Crime;51781;Fargo
Comedy;51781;Fargo
Drama;51781;Fargo
Thriller;51781;Fargo
Thrillers and murder mysteries;51781;Fargo
Intense violence and sexual transgression;51781;Fargo
Crude humor and satire;51781;Fargo
Crime, drugs and gangsters;51781;Fargo
Noir and dark crime dramas;51781;Fargo
Suspenseful crime thrillers;51781;Fargo
Intriguing and suspenseful murder mysteries;51781;Fargo
Twisted dark psychological thriller;51781;Fargo
Gritty crime and ruthless gangsters;51781;Fargo
Action;241920;Shin Godzilla
Horror;241920;Shin Godzilla
Science Fiction;241920;Shin Godzilla
Epic heroes;241920;Shin Godzilla
Sci-fi monster and dinosaur adventures;241920;Shin Godzilla
Dangerous technology and the apocalypse;241920;Shin Godzilla
Sci-fi horror, creatures, and aliens;241920;Shin Godzilla
Superheroes in action-packed battles with villains;241920;Shin Godzilla
Thought-provoking sci-fi action and future technology;241920;Shin Godzilla
Drama;43812;Gaslight
Crime;43812;Gaslight
Mystery;43812;Gaslight
Thriller;43812;Gaslight
Thrillers and murder mysteries;43812;Gaslight
Noir and dark crime dramas;43812;Gaslight
Intriguing and suspenseful murder mysteries;43812;Gaslight
Suspenseful crime thrillers;43812;Gaslight
Twisted dark psychological thriller;43812;Gaslight
Terrifying, haunted, and supernatural horror;43812;Gaslight
Drama;42841;Ip Man
Action;42841;Ip Man
History;42841;Ip Man
Epic heroes;42841;Ip Man
War and historical adventure;42841;Ip Man
Epic history and literature;42841;Ip Man
Intense combat and martial arts;42841;Ip Man
Historical battles and epic heroism;42841;Ip Man
Military combat and heroic soldiers;42841;Ip Man
Superheroes in action-packed battles with villains;42841;Ip Man
Political drama, patriotism, and war;42841;Ip Man
Horror;51708;A Nightmare on Elm Street
Horror, the undead and monster classics;51708;A Nightmare on Elm Street
Intense violence and sexual transgression;51708;A Nightmare on Elm Street
Gory, gruesome, and slasher horror;51708;A Nightmare on Elm Street
Terrifying, haunted, and supernatural horror;51708;A Nightmare on Elm Street
Creepy, chilling, and terrifying horror;51708;A Nightmare on Elm Street
Gothic and eerie haunting horror;51708;A Nightmare on Elm Street
Twisted dark psychological thriller;51708;A Nightmare on Elm Street
Comedy;92160;Paddington
Family;92160;Paddington
Adventure;92160;Paddington
Crude humor and satire;92160;Paddington
Kids' animated fun and adventure;92160;Paddington
Holiday joy and heartwarming Christmas;92160;Paddington
Adorable animals and heartwarming families;92160;Paddington
Gags, jokes, and slapstick humor;92160;Paddington
Fairy-tale fantasy and enchanted magic;92160;Paddington
Comedy;277023;Paddington 2
Family;277023;Paddington 2
Adventure;277023;Paddington 2
Crude humor and satire;277023;Paddington 2
Kids' animated fun and adventure;277023;Paddington 2
Holiday joy and heartwarming Christmas;277023;Paddington 2
Adorable animals and heartwarming families;277023;Paddington 2
Fairy-tale fantasy and enchanted magic;277023;Paddington 2
Amusing jokes and witty satire;277023;Paddington 2
Romance;45649;Hairspray
Music;45649;Hairspray
Comedy;45649;Hairspray
Crude humor and satire;45649;Hairspray
Song and dance;45649;Hairspray
Catchy songs and hilarious musical comedy;45649;Hairspray
Teen school antics and laughter;45649;Hairspray
Funny jokes and crude humor;45649;Hairspray
Dazzling vocal performances and musicals;45649;Hairspray
Dance rhythms and catchy tunes;45649;Hairspray
Science Fiction;51881;28 Days Later
Horror;51881;28 Days Later
Thriller;51881;28 Days Later
Horror, the undead and monster classics;51881;28 Days Later
Intense violence and sexual transgression;51881;28 Days Later
Monsters, aliens, sci-fi and the apocalypse;51881;28 Days Later
Survival horror and zombie carnage;51881;28 Days Later
Gory, gruesome, and slasher horror;51881;28 Days Later
Sci-fi horror, creatures, and aliens;51881;28 Days Later
Terrifying, haunted, and supernatural horror;51881;28 Days Later
Chilling experiments and classic monster horror;51881;28 Days Later
Thriller;561763;Pig
Drama;561763;Pig
Humanity and the world around us;561763;Pig
Moving relationship stories;561763;Pig
Powerful stories of heartbreak and suffering;561763;Pig
Surreal and thought-provoking visions of life and death;561763;Pig
Heartfelt and sentimental family stories;561763;Pig
Heartbreaking and moving family drama;561763;Pig
Emotional teen coming-of-age stories;561763;Pig
Horror;51338;An American Werewolf in London
Comedy;51338;An American Werewolf in London
Horror, the undead and monster classics;51338;An American Werewolf in London
Crude humor and satire;51338;An American Werewolf in London
Intense violence and sexual transgression;51338;An American Werewolf in London
Gory, gruesome, and slasher horror;51338;An American Werewolf in London
Terrifying, haunted, and supernatural horror;51338;An American Werewolf in London
Gothic and eerie haunting horror;51338;An American Werewolf in London
Spooky, scary comedy;51338;An American Werewolf in London
Creepy, chilling, and terrifying horror;51338;An American Werewolf in London
Drama;591053;Past Lives
Romance;591053;Past Lives
Moving relationship stories;591053;Past Lives
Heartfelt and sentimental family stories;591053;Past Lives
Powerful stories of heartbreak and suffering;591053;Past Lives
Tragic sadness and captivating beauty;591053;Past Lives
Passion and romance;591053;Past Lives
Captivating relationships and charming romance;591053;Past Lives
Comedy;47867;Napoleon Dynamite
Crude humor and satire;47867;Napoleon Dynamite
Underdogs and coming of age;47867;Napoleon Dynamite
Funny jokes and crude humor;47867;Napoleon Dynamite
Gags, jokes, and slapstick humor;47867;Napoleon Dynamite
Teen school antics and laughter;47867;Napoleon Dynamite
Amusing jokes and witty satire;47867;Napoleon Dynamite
Quirky and endearing relationships;47867;Napoleon Dynamite
Science Fiction;371378;Dune
Adventure;371378;Dune
Epic heroes;371378;Dune
Monsters, aliens, sci-fi and the apocalypse;371378;Dune
Action-packed space and alien sagas;371378;Dune
Thought-provoking sci-fi action and future technology;371378;Dune
Superheroes in action-packed battles with villains;371378;Dune
Imaginative space odysseys and alien encounters;371378;Dune
Emotional and captivating fantasy storytelling;371378;Dune
Adventure;617443;Dune: Part Two
Science Fiction;617443;Dune: Part Two
Epic heroes;617443;Dune: Part Two
Humanity and the world around us;617443;Dune: Part Two
Action-packed space and alien sagas;617443;Dune: Part Two
Superheroes in action-packed battles with villains;617443;Dune: Part Two
Historical battles and epic heroism;617443;Dune: Part Two
Fantasy adventure, heroism, and swordplay;617443;Dune: Part Two
Emotional and captivating fantasy storytelling;617443;Dune: Part Two
Action;6838;Miami Connection
Music;6838;Miami Connection
Crime;6838;Miami Connection
Song and dance;6838;Miami Connection
Epic heroes;6838;Miami Connection
Intense combat and martial arts;6838;Miami Connection
Dance rhythms and catchy tunes;6838;Miami Connection
Legendary musicians and stardom;6838;Miami Connection
Comedy;575258;Renfield
Fantasy;575258;Renfield
Horror;575258;Renfield
Crude humor and satire;575258;Renfield
Crime, drugs and gangsters;575258;Renfield
Relationship comedy;575258;Renfield
Horror, the undead and monster classics;575258;Renfield
Bloody vampire horror;575258;Renfield
Gags, jokes, and slapstick humor;575258;Renfield
Action comedy and silly heroics;575258;Renfield
Funny jokes and crude humor;575258;Renfield
Spooky, scary comedy;575258;Renfield
Thriller;14220;The Man from Nowhere
Action;14220;The Man from Nowhere
Crime;14220;The Man from Nowhere
Crime, drugs and gangsters;14220;The Man from Nowhere
High speed and special ops;14220;The Man from Nowhere
Epic heroes;14220;The Man from Nowhere
Gritty crime and ruthless gangsters;14220;The Man from Nowhere
Violent action, guns, and crime;14220;The Man from Nowhere
Violent crime and drugs;14220;The Man from Nowhere
Intense combat and martial arts;14220;The Man from Nowhere
Explosive and action-packed heroes vs. villains;14220;The Man from Nowhere
Comedy;333448;Isle of Dogs
Animation;333448;Isle of Dogs
Adventure;333448;Isle of Dogs
Humanity and the world around us;333448;Isle of Dogs
Crude humor and satire;333448;Isle of Dogs
Emotional and captivating fantasy storytelling;333448;Isle of Dogs
Adorable animals and heartwarming families;333448;Isle of Dogs
Laugh-out-loud relationship entanglements;333448;Isle of Dogs
Powerful poetic and passionate drama;333448;Isle of Dogs
Action;78266;The Raid
Crime;78266;The Raid
Thriller;78266;The Raid
Crime, drugs and gangsters;78266;The Raid
Epic heroes;78266;The Raid
High speed and special ops;78266;The Raid
Intense combat and martial arts;78266;The Raid
Violent action, guns, and crime;78266;The Raid
Explosive and action-packed heroes vs. villains;78266;The Raid
Brutal, violent prison drama;78266;The Raid
Gritty crime and ruthless gangsters;78266;The Raid
Thriller;51495;The Usual Suspects
Drama;51495;The Usual Suspects
Crime;51495;The Usual Suspects
High speed and special ops;51495;The Usual Suspects
Crime, drugs and gangsters;51495;The Usual Suspects
Thrillers and murder mysteries;51495;The Usual Suspects
Intriguing and suspenseful murder mysteries;51495;The Usual Suspects
Suspenseful crime thrillers;51495;The Usual Suspects
Noir and dark crime dramas;51495;The Usual Suspects
Heists and thrilling action;51495;The Usual Suspects
Gritty crime and ruthless gangsters;51495;The Usual Suspects
Science Fiction;50089;Pitch Black
Thriller;50089;Pitch Black
Action;50089;Pitch Black
Monsters, aliens, sci-fi and the apocalypse;50089;Pitch Black
Horror, the undead and monster classics;50089;Pitch Black
Sci-fi horror, creatures, and aliens;50089;Pitch Black
Action-packed space and alien sagas;50089;Pitch Black
Twisted dark psychological thriller;50089;Pitch Black
Imaginative space odysseys and alien encounters;50089;Pitch Black
Thought-provoking sci-fi action and future technology;50089;Pitch Black
Adventure;35616;Hard Ticket to Hawaii
Action;35616;Hard Ticket to Hawaii
High speed and special ops;35616;Hard Ticket to Hawaii
Explosive and action-packed heroes vs. villains;35616;Hard Ticket to Hawaii
Violent action, guns, and crime;35616;Hard Ticket to Hawaii
Horror;680358;X
Thriller;680358;X
Horror, the undead and monster classics;680358;X
Intense violence and sexual transgression;680358;X
Gory, gruesome, and slasher horror;680358;X
Twisted dark psychological thriller;680358;X
Gothic and eerie haunting horror;680358;X
Challenging or sexual themes & twists;680358;X
Graphic violence and brutal revenge;680358;X
Horror;853822;Pearl
Thriller;853822;Pearl
Intense violence and sexual transgression;853822;Pearl
Horror, the undead and monster classics;853822;Pearl
Gory, gruesome, and slasher horror;853822;Pearl
Twisted dark psychological thriller;853822;Pearl
Terrifying, haunted, and supernatural horror;853822;Pearl
Gothic and eerie haunting horror;853822;Pearl
Creepy, chilling, and terrifying horror;853822;Pearl
Horror;922858;MaXXXine
Thriller;922858;MaXXXine
Horror, the undead and monster classics;922858;MaXXXine
Thrillers and murder mysteries;922858;MaXXXine
Intense violence and sexual transgression;922858;MaXXXine
Twisted dark psychological thriller;922858;MaXXXine
Gory, gruesome, and slasher horror;922858;MaXXXine
Suspenseful crime thrillers;922858;MaXXXine
Intriguing and suspenseful murder mysteries;922858;MaXXXine
Terrifying, haunted, and supernatural horror;922858;MaXXXine
Drama;48823;The Fugitive
Thriller;48823;The Fugitive
Action;48823;The Fugitive
Thrillers and murder mysteries;48823;The Fugitive
High speed and special ops;48823;The Fugitive
Crime, drugs and gangsters;48823;The Fugitive
Suspenseful crime thrillers;48823;The Fugitive
Intriguing and suspenseful murder mysteries;48823;The Fugitive
Noir and dark crime dramas;48823;The Fugitive
Adrenaline-fueled action and fast cars;48823;The Fugitive
Brutal, violent prison drama;48823;The Fugitive
Action;488751;Monkey Man
Thriller;488751;Monkey Man
Epic heroes;488751;Monkey Man
High speed and special ops;488751;Monkey Man
Humanity and the world around us;488751;Monkey Man
Intense combat and martial arts;488751;Monkey Man
Violent crime and drugs;488751;Monkey Man
Bollywood emotional dramas;488751;Monkey Man
Intense political and terrorist thrillers;488751;Monkey Man
Brutal, violent prison drama;488751;Monkey Man
Action;27730;Blade
Horror;27730;Blade
Epic heroes;27730;Blade
Horror, the undead and monster classics;27730;Blade
Bloody vampire horror;27730;Blade
Superheroes in action-packed battles with villains;27730;Blade
Intense combat and martial arts;27730;Blade
Fantasy adventure, heroism, and swordplay;27730;Blade
Creepy, chilling, and terrifying horror;27730;Blade
Comedy;43569;Repo Man
Science Fiction;43569;Repo Man
Crude humor and satire;43569;Repo Man
Humanity and the world around us;43569;Repo Man
Gags, jokes, and slapstick humor;43569;Repo Man
Teen school antics and laughter;43569;Repo Man
Funny jokes and crude humor;43569;Repo Man
Action comedy and silly heroics;43569;Repo Man
Dreamlike, quirky, and surreal storytelling;43569;Repo Man
Comedy;50851;Re-Animator
Horror;50851;Re-Animator
Science Fiction;50851;Re-Animator
Horror, the undead and monster classics;50851;Re-Animator
Crude humor and satire;50851;Re-Animator
Intense violence and sexual transgression;50851;Re-Animator
Gory, gruesome, and slasher horror;50851;Re-Animator
Chilling experiments and classic monster horror;50851;Re-Animator
Challenging or sexual themes & twists;50851;Re-Animator
Extreme gory horror and cannibalism;50851;Re-Animator
Creepy, chilling, and terrifying horror;50851;Re-Animator
Comedy;223818;Dude Bro Party Massacre III
Science Fiction;47171;The Fly
Horror;47171;The Fly
Horror, the undead and monster classics;47171;The Fly
Intense violence and sexual transgression;47171;The Fly
Moving relationship stories;47171;The Fly
Chilling experiments and classic monster horror;47171;The Fly
Gory, gruesome, and slasher horror;47171;The Fly
Sci-fi horror, creatures, and aliens;47171;The Fly
Terrifying, haunted, and supernatural horror;47171;The Fly
Twisted dark psychological thriller;47171;The Fly
Romance;890105;Humanist Vampire Seeking Consenting Suicidal Person
Comedy;890105;Humanist Vampire Seeking Consenting Suicidal Person
Fantasy;890105;Humanist Vampire Seeking Consenting Suicidal Person
Horror;890105;Humanist Vampire Seeking Consenting Suicidal Person
Relationship comedy;890105;Humanist Vampire Seeking Consenting Suicidal Person
Crude humor and satire;890105;Humanist Vampire Seeking Consenting Suicidal Person
Quirky and endearing relationships;890105;Humanist Vampire Seeking Consenting Suicidal Person
Laugh-out-loud relationship entanglements;890105;Humanist Vampire Seeking Consenting Suicidal Person
Bloody vampire horror;890105;Humanist Vampire Seeking Consenting Suicidal Person
Heartfelt and sentimental family stories;890105;Humanist Vampire Seeking Consenting Suicidal Person
Charming romances and delightful chemistry;890105;Humanist Vampire Seeking Consenting Suicidal Person
